name,address,city,province,holes,latitude,longitude,google_maps_link
Umdoni Park Golf Course,Minerva Road,Pennington,Kwazulu-Natal,18,-30.392325,30.689471,https://www.google.com/maps/search/?api=1&query=-30.392325%2C30.689471
Maritzburg Golf Club,"New England Road, Hayfields",Pietermaritzburg,Kwazulu-Natal,18,-29.613048,30.414006,https://www.google.com/maps/search/?api=1&query=-29.613048%2C30.414006
Victoria Country Club,"Duncan Mackenzie Drive, Montrose",Pietermaritzburg,Kwazulu-Natal,18,-29.57629,30.334196,https://www.google.com/maps/search/?api=1&query=-29.57629%2C30.334196
Pongola Golf Club,Cnr Klasie Havenga/ Hans Strydom Steets,Pongola,Kwazulu-Natal,9,-27.375956,31.617451,https://www.google.com/maps/search/?api=1&query=-27.375956%2C31.617451
Port Edward Country Club,Golf Course Road,Port Edward,Kwazulu-Natal,18,-31.053583,30.219911,https://www.google.com/maps/search/?api=1&query=-31.053583%2C30.219911
Port Shepstone Country Club,"Marine Drive, Umtentweni",Port Shepstone,Kwazulu-Natal,18,-30.730614,30.456311,https://www.google.com/maps/search/?api=1&query=-30.730614%2C30.456311
Amanzimtoti Country Club,1 Golf Course Road,Prospecton,Kwazulu-Natal,18,-30.011286,30.931737,https://www.google.com/maps/search/?api=1&query=-30.011286%2C30.931737
Richards Bay Country Club,"Kurperkurwe Street, Meerensee",Richards Bay,Kwazulu-Natal,18,-28.767207,32.110119,https://www.google.com/maps/search/?api=1&query=-28.767207%2C32.110119
Richmond Country Club,Pietermaritzburg/Ixopo Road (R56),Richmond,Kwazulu-Natal,18,-29.890816,30.279801,https://www.google.com/maps/search/?api=1&query=-29.890816%2C30.279801
Scottburgh Golf Course,cnr Taylor St / Williamson St,Scottburgh,Kwazulu-Natal,18,-30.290597,30.751062,https://www.google.com/maps/search/?api=1&query=-30.290597%2C30.751062
San Lameer Country Club,"Main Road, Lower South Coast",Southbroom,Kwazulu-Natal,18,-30.940268,30.292096,https://www.google.com/maps/search/?api=1&query=-30.940268%2C30.292096
Southbroom Golf Club,301 Captain Smith Road,Southbroom,Kwazulu-Natal,18,-30.917909,30.32218,https://www.google.com/maps/search/?api=1&query=-30.917909%2C30.32218
Prince's Grant Coastal Golf Estate,1 Babu Bodasing Avenue,Stanger,Kwazulu-Natal,18,-29.336894,31.366984,https://www.google.com/maps/search/?api=1&query=-29.336894%2C31.366984
Maidstone Golf Club,"Main Road, Maidstone Village",Tongaat,Kwazulu-Natal,18,-29.548373,31.130941,https://www.google.com/maps/search/?api=1&query=-29.548373%2C31.130941
Umhlali Golf Estate & Country Club,Compensation Road,Umhlali,Kwazulu-Natal,18,-29.511209,31.197116,https://www.google.com/maps/search/?api=1&query=-29.511209%2C31.197116
Umkomaas Golf Club,Moodie Street,Umkomaas,Kwazulu-Natal,18,-30.208788,30.795622,https://www.google.com/maps/search/?api=1&query=-30.208788%2C30.795622
Drakensberg Gardens Golf Club,Drakensberg Gardens Rd,Underberg,Kwazulu-Natal,18,-29.757501,29.226576,https://www.google.com/maps/search/?api=1&query=-29.757501%2C29.226576
Underberg Country Club,Main Road,Underberg,Kwazulu-Natal,18,-29.788441,29.493032,https://www.google.com/maps/search/?api=1&query=-29.788441%2C29.493032
Utrecht Golf Course,Balgray Road,Utrecht,Kwazulu-Natal,18,-27.641185,30.337613,https://www.google.com/maps/search/?api=1&query=-27.641185%2C30.337613
Vryheid Golf Club,1 President Street,Vryheid,Kwazulu-Natal,18,-27.780025,30.795021,https://www.google.com/maps/search/?api=1&query=-27.780025%2C30.795021
Champagne Sports Resort,"R600 Winterton, Champagne Valley",Winterton,Kwazulu-Natal,18,-29.001632,29.467692,https://www.google.com/maps/search/?api=1&query=-29.001632%2C29.467692
Monks Cowl Country Club,"R600, Champagne Valley",Winterton,Kwazulu-Natal,9,-29.010824,29.470451,https://www.google.com/maps/search/?api=1&query=-29.010824%2C29.470451
Amandelbult Golf Club,Thabazimbi Main Road,Amandelbult,Limpopo,18,-24.813427,27.29795,https://www.google.com/maps/search/?api=1&query=-24.813427%2C27.29795
Elements Private Golf Reserve,,Bela Bela,Limpopo,18,-24.799393,28.130809,https://www.google.com/maps/search/?api=1&query=-24.799393%2C28.130809
Drakensig Golf Course,"MEC Sports Club, Drakensig",Hoedspruit,Limpopo,9,-24.346517,30.93224,https://www.google.com/maps/search/?api=1&query=-24.346517%2C30.93224
Mogol Golf Club,George Wells Street,Lephalale,Limpopo,18,-23.686223,27.69531,https://www.google.com/maps/search/?api=1&query=-23.686223%2C27.69531
Orangedene Golf Course,"Letaba Citrus Estate, Orangedene",Letaba,Limpopo,9,-23.874138,30.299121,https://www.google.com/maps/search/?api=1&query=-23.874138%2C30.299121
Zebula Golf Estate & Spa,35 km west of Warmbaths – across from Mabula Lodge Gate,Mabula,Limpopo,18,-24.749123,27.960155,https://www.google.com/maps/search/?api=1&query=-24.749123%2C27.960155
Soutpansberg Golf Club,Cnr. Hospital and Ruh Streets,Makhado,Limpopo,18,-23.031614,29.905086,https://www.google.com/maps/search/?api=1&query=-23.031614%2C29.905086
Marble Hall Golf Club,Toitskraal and Main Road,Marble Hall,Limpopo,18,-25.000277,29.274385,https://www.google.com/maps/search/?api=1&query=-25.000277%2C29.274385
Koro Creek Golf Estate,Church Street,Modimolle,Limpopo,18,-24.697502,28.385732,https://www.google.com/maps/search/?api=1&query=-24.697502%2C28.385732
Kameeldoring Country Club,H.F Verwoerd,Mokopane,Limpopo,18,-24.211056,28.989379,https://www.google.com/maps/search/?api=1&query=-24.211056%2C28.989379
Legend Golf & Safari Resort,Entabeni Safari Conservancy,Mokopane,Limpopo,18,-24.195227,28.720853,https://www.google.com/maps/search/?api=1&query=-24.195227%2C28.720853
Messina Golf Club,Limpopo Avenue,Musina,Limpopo,18,-22.3422,30.045462,https://www.google.com/maps/search/?api=1&query=-22.3422%2C30.045462
Euphoria Golf Estate,R101,Naboomspruit,Limpopo,18,-24.547181,28.6441,https://www.google.com/maps/search/?api=1&query=-24.547181%2C28.6441
Naboomspruit Golf Club,Louis Trichardt Street,Naboomspruit,Limpopo,9,-24.509811,28.70513,https://www.google.com/maps/search/?api=1&query=-24.509811%2C28.70513
Hans Merensky Golf Course,Club Road,Phalaborwa,Limpopo,18,-23.963127,31.166525,https://www.google.com/maps/search/?api=1&query=-23.963127%2C31.166525
Polokwane Golf Club,Voortrekker Street,Polokwane,Limpopo,18,-23.922858,29.460225,https://www.google.com/maps/search/?api=1&query=-23.922858%2C29.460225
Rooiberg Golf Club,Off Warmbaths Road,Rooiberg,Limpopo,18,-24.776874,27.745929,https://www.google.com/maps/search/?api=1&query=-24.776874%2C27.745929
University of the North Golf Club,Mankweng,Sovenga,Limpopo,9,-23.894989,29.738854,https://www.google.com/maps/search/?api=1&query=-23.894989%2C29.738854
Swartklip Golf Club,Located in Bierspruit near the dam,Swartklip,Limpopo,9,-24.907512,27.139976,https://www.google.com/maps/search/?api=1&query=-24.907512%2C27.139976
Sesambos Golf Course,Redbaan Game Farm,Swartwater,Limpopo,18,-22.791292,28.120097,https://www.google.com/maps/search/?api=1&query=-22.791292%2C28.120097
Thabazimbi Golf Course,"Rustenburg/Thabazimbi Road (R510), Ben Alberts Reserve",Thabazimbi,Limpopo,18,-24.633286,27.371945,https://www.google.com/maps/search/?api=1&query=-24.633286%2C27.371945
Fairview Par 3 Golf Course,Old Gravelotte Rd,Tzaneen,Limpopo,18,-23.821321,30.171521,https://www.google.com/maps/search/?api=1&query=-23.821321%2C30.171521
Tzaneen Country Club,Duiwelskloof,Tzaneen,Limpopo,18,-23.74727,30.110114,https://www.google.com/maps/search/?api=1&query=-23.74727%2C30.110114
Zebediela Country Club,Zebediela Citrus Estates,Zebediela,Limpopo,9,-24.288754,29.30161,https://www.google.com/maps/search/?api=1&query=-24.288754%2C29.30161
Amersfoort Golf Club,South Street,Amersfoort,Mpumalanga,9,-27.01699,29.864745,https://www.google.com/maps/search/?api=1&query=-27.01699%2C29.864745
Badplaas Golf Course,Carolina Main Road,Badplaas,Mpumalanga,18,-25.936317,30.520771,https://www.google.com/maps/search/?api=1&query=-25.936317%2C30.520771
Barberton Golf Club,De Villiers Street,Barberton,Mpumalanga,18,-25.792336,31.040754,https://www.google.com/maps/search/?api=1&query=-25.792336%2C31.040754
Belfast Golf Club,Vermooten Street,Belfast,Mpumalanga,9,-25.698631,30.048273,https://www.google.com/maps/search/?api=1&query=-25.698631%2C30.048273
Bethal Golf Club,Hendrik Joubert Park,Bethal,Mpumalanga,9,-26.464198,29.475417,https://www.google.com/maps/search/?api=1&query=-26.464198%2C29.475417
Carolina Golf Course ~ 18 Holes,35 Duvenhage Street,Carolina,Mpumalanga,18,-26.067665,30.104397,https://www.google.com/maps/search/?api=1&query=-26.067665%2C30.104397
Carolina Golf Course ~ 9 Hole,35 Duvenhage Street,Carolina,Mpumalanga,9,-26.067665,30.104397,https://www.google.com/maps/search/?api=1&query=-26.067665%2C30.104397
Tweefontein Golf Club,"Witbank/Ogies Roads, Tweefontein Collieries",Coalville,Mpumalanga,18,-26.026032,29.173036,https://www.google.com/maps/search/?api=1&query=-26.026032%2C29.173036
Delmas Golf Club,"Van Der Walt Street, Leeuwpoort",Delmas,Mpumalanga,9,-26.142257,28.681464,https://www.google.com/maps/search/?api=1&query=-26.142257%2C28.681464
Highland Gate Golf & Trout Estate,Kruisfontein Road,Dullstroom,Mpumalanga,18,-25.444,30.204282,https://www.google.com/maps/search/?api=1&query=-25.444%2C30.204282
Diepgezet Golf Course,,Ekulindeni,Mpumalanga,9,-26.00318,31.07234,https://www.google.com/maps/search/?api=1&query=-26.00318%2C31.07234
Ermelo Country Club,Hendrina Road,Ermelo,Mpumalanga,18,-26.469753,29.961138,https://www.google.com/maps/search/?api=1&query=-26.469753%2C29.961138
Walker Park Golf Club,Standerton Road,Evander,Mpumalanga,18,-26.487436,29.10126,https://www.google.com/maps/search/?api=1&query=-26.487436%2C29.10126
Groblersdal Golf Club,Middelburg Road,Groblersdal,Mpumalanga,18,-25.177767,29.404693,https://www.google.com/maps/search/?api=1&query=-25.177767%2C29.404693
Kruger Park Lodge Golf Course,9 Kruger Road,Hazyview,Mpumalanga,9,-25.033953,31.141307,https://www.google.com/maps/search/?api=1&query=-25.033953%2C31.141307
Lions Rock Golf Course,Hazyview Sabie Road,Hazyview,Mpumalanga,9,-25.035825,31.063757,https://www.google.com/maps/search/?api=1&query=-25.035825%2C31.063757
Sabie River Sun Golf Course,Sabie Road,Hazyview,Mpumalanga,18,-25.034834,31.11316,https://www.google.com/maps/search/?api=1&query=-25.034834%2C31.11316
Kinross Golf Club,Spitz Street,Kinross,Mpumalanga,18,-26.41569,29.108289,https://www.google.com/maps/search/?api=1&query=-26.41569%2C29.108289
Kambaku Golf Club,33 Rissik Street,Komatipoort,Mpumalanga,18,-25.437522,31.972328,https://www.google.com/maps/search/?api=1&query=-25.437522%2C31.972328
Kriel Golf Club,Bethal Main Road,Kriel,Mpumalanga,9,-26.255157,29.1996,https://www.google.com/maps/search/?api=1&query=-26.255157%2C29.1996
Kranspoort Golf Club,N11,Loskop Valley,Mpumalanga,9,-25.438092,29.420807,https://www.google.com/maps/search/?api=1&query=-25.438092%2C29.420807
Lydenburg Golf Club ~ 18 Hole,Buhrman Street,Lydenburg,Mpumalanga,18,-25.092452,30.461783,https://www.google.com/maps/search/?api=1&query=-25.092452%2C30.461783
Lydenburg Golf Club ~ 9 Hole,Buhrman Street,Lydenburg,Mpumalanga,9,-25.092452,30.461783,https://www.google.com/maps/search/?api=1&query=-25.092452%2C30.461783
Leopard Creek Country Club,Malelane Gate,Malelane,Mpumalanga,18,-25.441748,31.534459,https://www.google.com/maps/search/?api=1&query=-25.441748%2C31.534459
Leopard Creek Country Club ~ Par 3,Malelane Gate,Malelane,Mpumalanga,9,-25.441748,31.534459,https://www.google.com/maps/search/?api=1&query=-25.441748%2C31.534459
Malelane Golf Club,R570 to Kruger National Park,Malelane,Mpumalanga,9,-25.465794,31.54192,https://www.google.com/maps/search/?api=1&query=-25.465794%2C31.54192
Bank Golf Club,Bank Colliery,Middelburg,Mpumalanga,18,-25.970004,29.463658,https://www.google.com/maps/search/?api=1&query=-25.970004%2C29.463658
Middelburg Country Club,"10 Eeufees Street, Clubville",Middelburg,Mpumalanga,18,-25.775578,29.444132,https://www.google.com/maps/search/?api=1&query=-25.775578%2C29.444132
Morgenzon Golf Club,Beyer Street,Morgenzon,Mpumalanga,9,-26.73229,29.613175,https://www.google.com/maps/search/?api=1&query=-26.73229%2C29.613175
Nelspruit Golf Club,"Mantumi Golf Estate, Wilhelm Street",Nelspruit,Mpumalanga,18,-25.483861,30.995715,https://www.google.com/maps/search/?api=1&query=-25.483861%2C30.995715
Piet Retief Country Club,Cnr Westend and Brand Streets,Piet Retief,Mpumalanga,9,-27.010961,30.799677,https://www.google.com/maps/search/?api=1&query=-27.010961%2C30.799677
Pilgrims Rest Golf Club,Lydenburg Road,Pilgrimsrest,Mpumalanga,18,-24.885287,30.740991,https://www.google.com/maps/search/?api=1&query=-24.885287%2C30.740991
Arnot Golf Club,"N4 to Nelspruit, Arnot Power Station",Rietkuil,Mpumalanga,9,-25.940137,29.81226,https://www.google.com/maps/search/?api=1&query=-25.940137%2C29.81226
Sabie Country Club,Lydenburg Road,Sabie,Mpumalanga,9,-25.103953,30.777962,https://www.google.com/maps/search/?api=1&query=-25.103953%2C30.777962
Graceland Country Club,Embalenhle Road,Secunda,Mpumalanga,18,-26.512971,29.162049,https://www.google.com/maps/search/?api=1&query=-26.512971%2C29.162049
Skukuza Golf Club,Kruger National Park,Skukuza,Mpumalanga,18,-24.98379,31.576681,https://www.google.com/maps/search/?api=1&query=-24.98379%2C31.576681
Standerton Country Club,Peter Bailey Boulevard,Standerton,Mpumalanga,18,-26.947053,29.254351,https://www.google.com/maps/search/?api=1&query=-26.947053%2C29.254351
Chrome Golf Club,"Stoffberg Steelport Road, Chrome Club",Steelport,Mpumalanga,18,-24.795318,30.166037,https://www.google.com/maps/search/?api=1&query=-24.795318%2C30.166037
Volksrust Golf Club,1 South Street,Volksrust,Mpumalanga,18,-27.373574,29.873972,https://www.google.com/maps/search/?api=1&query=-27.373574%2C29.873972
White River Country Club,"Vintage Drive, Off the R40",White River,Mpumalanga,18,-25.284927,31.010177,https://www.google.com/maps/search/?api=1&query=-25.284927%2C31.010177
Bankenveld Golf Club,69 Steenberg,Witbank,Mpumalanga,18,-25.90506,29.282653,https://www.google.com/maps/search/?api=1&query=-25.90506%2C29.282653
Greenside Colliery Golf Club,"Greenside Colliery, Blackhill",Witbank,Mpumalanga,18,-25.961637,29.174967,https://www.google.com/maps/search/?api=1&query=-25.961637%2C29.174967
Landau Colliery Golf Club,Landau Colliery,Witbank,Mpumalanga,9,-25.948205,29.209814,https://www.google.com/maps/search/?api=1&query=-25.948205%2C29.209814
Witbank Golf Club,Lukin Street,Witbank,Mpumalanga,18,-25.882115,29.216788,https://www.google.com/maps/search/?api=1&query=-25.882115%2C29.216788
Bloemhof Golf Course,Christiana Road,Bloemhof,North West,18,-27.652245,25.595505,https://www.google.com/maps/search/?api=1&query=-27.652245%2C25.595505
Seasons Eco Golf Estate,"Farm Hertebusfontein, Old Rustenburg Road",Brits,North West,18,-25.701592,27.849827,https://www.google.com/maps/search/?api=1&query=-25.701592%2C27.849827
Western Deep Levels Mashie Golf Club,Merafong City Rural,Carletonville,North West,9,-26.423771,27.429857,https://www.google.com/maps/search/?api=1&query=-26.423771%2C27.429857
Christiana Golf Club,Jan Kemp Road,Christiana,North West,18,-27.900317,25.150752,https://www.google.com/maps/search/?api=1&query=-27.900317%2C25.150752
Delareyville Golf Course,"The Farm, Soutpan",Delareyville,North West,18,-26.696842,25.477338,https://www.google.com/maps/search/?api=1&query=-26.696842%2C25.477338
Arrow Rest Mashie Course,R512,Hartbeespoort,North West,18,-25.77723,27.828229,https://www.google.com/maps/search/?api=1&query=-25.77723%2C27.828229
The Islands Estate Mashie Course,"R512, The Islands Estate",Hartbeespoort,North West,9,-25.76499,27.847628,https://www.google.com/maps/search/?api=1&query=-25.76499%2C27.847628
Pecanwood Golf & Country Club,"R512, Provincial Road",Hartebeespoort,North West,18,-25.77163,27.853475,https://www.google.com/maps/search/?api=1&query=-25.77163%2C27.853475
Sandy Lane Golf Club,"Caribbean Beach Club, Kosmos",Hartebeespoort,North West,18,-25.749035,27.828519,https://www.google.com/maps/search/?api=1&query=-25.749035%2C27.828519
Klerksdorp Golf Club,Cnr Boet Randalls and Trens Erasmus Streets,Klerksdorp,North West,18,-26.878223,26.65839,https://www.google.com/maps/search/?api=1&query=-26.878223%2C26.65839
Koster Golf Course,Petisie Street,Koster,North West,9,-25.872481,26.895282,https://www.google.com/maps/search/?api=1&query=-25.872481%2C26.895282
Millvale Golf Course,Millvale Road,Kosterdam,North West,18,-25.693291,26.910949,https://www.google.com/maps/search/?api=1&query=-25.693291%2C26.910949
Leeudoringstad Golf Course,East Street,Leeudoringstad,North West,18,-27.235923,26.240544,https://www.google.com/maps/search/?api=1&query=-27.235923%2C26.240544
Lichtenburg Golf Club,Colingy Road,Lichtenburg,North West,18,-26.184535,26.177392,https://www.google.com/maps/search/?api=1&query=-26.184535%2C26.177392
Leopard Park Golf Club,Nelson Mandela Drive,Mmabatho,North West,18,-25.812442,25.637262,https://www.google.com/maps/search/?api=1&query=-25.812442%2C25.637262
Mooi Nooi Golf Club,Wilkinson Ave (old Hartebeespoort Road),Mooi Nooi,North West,18,-25.752296,27.563925,https://www.google.com/maps/search/?api=1&query=-25.752296%2C27.563925
Orkney Golf Course,1 Scott Avenue,Orkney,North West,18,-26.99476,26.676307,https://www.google.com/maps/search/?api=1&query=-26.99476%2C26.676307
Ottosdal Country Club,Main Road,Ottosdal,North West,9,-26.815775,26.014962,https://www.google.com/maps/search/?api=1&query=-26.815775%2C26.014962
Lost City Golf Course,Sun City,Pilansberg,North West,18,-25.339322,27.090375,https://www.google.com/maps/search/?api=1&query=-25.339322%2C27.090375
Landbou Golf Club ~ 18 Hole,Botha Street,Potchefstroom,North West,18,-26.731387,27.070561,https://www.google.com/maps/search/?api=1&query=-26.731387%2C27.070561
Landbou Golf Club ~ 9 Hole,Botha Street,Potchefstroom,North West,9,-26.731387,27.070561,https://www.google.com/maps/search/?api=1&query=-26.731387%2C27.070561
Potchefstroom Country Club,Mooi River Drive,Potchefstroom,North West,18,-26.720056,27.105984,https://www.google.com/maps/search/?api=1&query=-26.720056%2C27.105984
Reivilo Golf Club,Voortrekker Street,Reivilo,North West,18,-27.554204,24.183011,https://www.google.com/maps/search/?api=1&query=-27.554204%2C24.183011
Hunters Rest Golf Course,R24 Main,Rustenburg,North West,9,-25.778947,27.261178,https://www.google.com/maps/search/?api=1&query=-25.778947%2C27.261178
Rustenburg Golf Club,Bethlehem Drive,Rustenburg,North West,18,-25.668998,27.228692,https://www.google.com/maps/search/?api=1&query=-25.668998%2C27.228692
Sannieshof Golf Course,35 Spoor Street,Sannieshof,North West,18,-26.529647,25.804743,https://www.google.com/maps/search/?api=1&query=-26.529647%2C25.804743
Schweizer-Reneke Golf Club,4 Olivier Street,Schweizer Reineke,North West,18,-27.18472,25.319699,https://www.google.com/maps/search/?api=1&query=-27.18472%2C25.319699
Magalies Park Golf Club,Main Skeerpoort Road,Skeerpoort,North West,18,-25.750986,27.781156,https://www.google.com/maps/search/?api=1&query=-25.750986%2C27.781156
Stella Golf Club,Stella Street,Stella,North West,9,-26.545398,24.859795,https://www.google.com/maps/search/?api=1&query=-26.545398%2C24.859795
Stilfontein Golf Course,Potchefstroom Highway,Stilfontein,North West,18,-26.825051,26.823227,https://www.google.com/maps/search/?api=1&query=-26.825051%2C26.823227
Gary Player Country Club,North West Province,Sun City,North West,18,-25.345759,27.098594,https://www.google.com/maps/search/?api=1&query=-25.345759%2C27.098594
Village Mashie Club,Vaalriver Village,Vaal Reef,North West,18,-26.930272,26.742478,https://www.google.com/maps/search/?api=1&query=-26.930272%2C26.742478
Ventersdorp Golf Club,Voortrekker Street,Ventersdorp,North West,18,-26.324361,26.827777,https://www.google.com/maps/search/?api=1&query=-26.324361%2C26.827777
Vryburg Golf Club,De Kock Street,Vryburg,North West,18,-26.96399,24.726233,https://www.google.com/maps/search/?api=1&query=-26.96399%2C24.726233
Wolmeransstad Country Club,Union Street,Wolmaransstad,North West,18,-27.210882,25.983782,https://www.google.com/maps/search/?api=1&query=-27.210882%2C25.983782
Zeerust Country Club,"2nd Street, Shalimar Park",Zeerust,North West,9,-25.549929,26.069891,https://www.google.com/maps/search/?api=1&query=-25.549929%2C26.069891
Black Mountain Golf Course ~ 18 Hole,Penge Road,Aggeneys,Northern Cape,18,-29.261412,18.823801,https://www.google.com/maps/search/?api=1&query=-29.261412%2C18.823801
Black Mountain Golf Course ~ 9 Hole,Penge Road,Aggeneys,Northern Cape,9,-29.261412,18.823801,https://www.google.com/maps/search/?api=1&query=-29.261412%2C18.823801
Alexander Bay Golf Club,Alexander Bay,Alexander Bay,Northern Cape,9,-28.599746,16.488916,https://www.google.com/maps/search/?api=1&query=-28.599746%2C16.488916
Calvinia Golf Course,Nieuwoudtville Road,Calvinia,Northern Cape,18,-31.481558,19.75843,https://www.google.com/maps/search/?api=1&query=-31.481558%2C19.75843
Carnarvon Golf Club,Loxton Rd,Carnarvon,Northern Cape,18,-30.972906,22.124316,https://www.google.com/maps/search/?api=1&query=-30.972906%2C22.124316
Colesberg Golf Club,Off the N1,Colesberg,Northern Cape,9,-30.735141,25.08379,https://www.google.com/maps/search/?api=1&query=-30.735141%2C25.08379
De Aar Golf Club ~ 18 Hole,Witplaas,De Aar,Northern Cape,18,-30.668482,23.994852,https://www.google.com/maps/search/?api=1&query=-30.668482%2C23.994852
