#,Name,Address,City,Province,Holes,Data Source,Latitude,Longitude,Phone,Website,Green Fee (ZAR),Google Maps
128,Fancourt Hotel & Country Club ~ Outeniqua,"Montagu Street, Blanco",George,Western Cape,18,Garmin (SA),-33.951252,22.406659,+27 44 804 0000,https://fancourt.co.za/,,https://www.google.com/maps/search/?api=1&query=-33.951252%2C22.406659
129,Fancourt Hotel & Country Club ~ The Links Experience,Montagu St,George,Western Cape,9,Garmin (SA),-33.962961,22.400596,+27 44 804 0000,https://fancourt.co.za/contact/,,https://www.google.com/maps/search/?api=1&query=-33.962961%2C22.400596
130,Fancourt Hotel & Country Club ~ The Links Experience Par 3,Montagu St,George,Western Cape,9,Garmin (SA),-33.962961,22.400596,+27 44 804 0000,,,https://www.google.com/maps/search/?api=1&query=-33.962961%2C22.400596
131,Ficksburg Golf Course,1 Hill Street,Ficksburg,Free State,18,Garmin (SA),-28.859481,27.888856,0922693460,,,https://www.google.com/maps/search/?api=1&query=-28.859481%2C27.888856
132,Fig Tree Golf Course,Oceanway Rd,East London,Eastern Cape,9,Garmin (SA),-32.94234,27.971881,076 808 1455,,,https://www.google.com/maps/search/?api=1&query=-32.94234%2C27.971881
133,Fish River Sun Country Club,R72,Port Alfred,Eastern Cape,18,Garmin (SA),-33.483611,27.133227,+27406761101,,,https://www.google.com/maps/search/?api=1&query=-33.483611%2C27.133227
134,Fort Beaufort Golf Course,1601 Ralph Street,Fort Beaufort,Eastern Cape,18,Garmin (SA),-32.762837,26.624062,,,,https://www.google.com/maps/search/?api=1&query=-32.762837%2C26.624062
135,Frankfort Golf Course,Brand Street,Frankfort,Free State,9,Garmin (SA),-27.288086,28.495767,,,,https://www.google.com/maps/search/?api=1&query=-27.288086%2C28.495767
136,Fynbos Golf and Country Estate,Eersterivierstrand,Oubosrand,Eastern Cape,18,Garmin (SA),-34.070267,24.233131,+27 72 751 6162,https://www.fynbosgolf.co.za/,,https://www.google.com/maps/search/?api=1&query=-34.070267%2C24.233131
137,Gansbaai Golf Club,"212 Perlemoen Street, Kleinbaai",Gansbaai,Western Cape,18,Garmin (SA),-34.618413,19.349027,028 384 1441,https://gansbaaigolfclub.com/home/,,https://www.google.com/maps/search/?api=1&query=-34.618413%2C19.349027
138,Gary Player Country Club,North West Province,Sun City,North West,18,Garmin (SA),-25.345759,27.098594,+27 14 557 3700,,,https://www.google.com/maps/search/?api=1&query=-25.345759%2C27.098594
139,George Golf Club,Langenhoven Str,George,Western Cape,18,Garmin (SA),-33.953534,22.445955,+27 44 873 6116,,,https://www.google.com/maps/search/?api=1&query=-33.953534%2C22.445955
140,Germiston Country Club,Rand Airport Rd,Germiston,Gauteng,18,Garmin (SA),-26.233125,28.153028,,,,https://www.google.com/maps/search/?api=1&query=-26.233125%2C28.153028
141,Glencoe Correctional Services Golf Club,Glencoe Correctional Premises,Glencoe,KwaZulu-Natal,18,Garmin (SA),-28.156865,30.134833,034 393 2107,,,https://www.google.com/maps/search/?api=1&query=-28.156865%2C30.134833
142,Glendower Golf Club,"20 Marias Road, Dowerglen Ext 2",Bedfordview,Gauteng,18,Garmin (SA),-26.159873,28.141771,+27 11 453-1013,https://glendower.co.za/,,https://www.google.com/maps/search/?api=1&query=-26.159873%2C28.141771
143,Glengarry Kamberg,"Glengarry, 1 Highmoor Rd",Kamberg,KwaZulu-Natal,9,Garmin (SA),-29.324148,29.713852,082 867 7620,,,https://www.google.com/maps/search/?api=1&query=-29.324148%2C29.713852
144,Glenvista Country Club,Vorster Ave,Glenvista,Gauteng,18,Garmin (SA),-26.281408,28.056084,011 432 3150,https://glenvistacountryclub.co.za/contact-us/,,https://www.google.com/maps/search/?api=1&query=-26.281408%2C28.056084
145,Glenwood Golf Club,Knysna Rd,George,Western Cape,18,Garmin (SA),-33.973029,22.491644,,https://glenwoodiegolf.com/contact/,,https://www.google.com/maps/search/?api=1&query=-33.973029%2C22.491644
146,Goldfields West Golf Club,West Driefontein Mine,Carletonville,Gauteng,18,Garmin (SA),-26.391189,27.473949,,,,https://www.google.com/maps/search/?api=1&query=-26.391189%2C27.473949
147,Golf at Midfields Estates,Midsteam Estate,Midfields Estate,Gauteng,18,Garmin (SA),-25.921108,28.195961,,,,https://www.google.com/maps/search/?api=1&query=-25.921108%2C28.195961
148,Gonubie Golf Club,"End Street, Gonubie",East London,Eastern Cape,18,Garmin (SA),-32.950938,28.006167,0319028038,,,https://www.google.com/maps/search/?api=1&query=-32.950938%2C28.006167
149,Goose Valley Golf Club,"Next to N2, Goose Valley",Plettenberg Bay,Western Cape,18,Garmin (SA),-34.026375,23.381877,+27 11 512 0204,https://www.goosevalleygolfclub.com/,,https://www.google.com/maps/search/?api=1&query=-34.026375%2C23.381877
150,Gowrie Farm Golf Course,Old Main Road,Nottingham Road,KwaZulu-Natal,18,Garmin (SA),-29.362606,30.003023,+27733460847,https://www.gowrie.co.za/,,https://www.google.com/maps/search/?api=1&query=-29.362606%2C30.003023
151,Graaff Reinet Golf Club,"The Commonage, Aberdeen Road",Graaff-Reinet,Eastern Cape,18,Garmin (SA),-32.295146,24.54514,049 893 0286,https://graaffreinet.co.za/the-graaff-reinet-golf-club/,,https://www.google.com/maps/search/?api=1&query=-32.295146%2C24.54514
152,Grabouw Mashie Golf Club,26 oudebrug road,Grabouw,Western Cape,18,Garmin (SA),-34.15158,19.018613,+27836792615,,,https://www.google.com/maps/search/?api=1&query=-34.15158%2C19.018613
153,Graceland Country Club,Embalenhle Road,Secunda,Mpumalanga,18,Garmin (SA),-26.512971,29.162049,,https://graceland.co.za/contact-us/,,https://www.google.com/maps/search/?api=1&query=-26.512971%2C29.162049
154,Grahamstown Golf Club,Old Cradock Road,Grahamstown,Eastern Cape,18,Garmin (SA),-33.296374,26.499327,,,,https://www.google.com/maps/search/?api=1&query=-33.296374%2C26.499327
155,Greenside Colliery Golf Club,"Greenside Colliery, Blackhill",Witbank,Mpumalanga,18,Garmin (SA),-25.961637,29.174967,,,,https://www.google.com/maps/search/?api=1&query=-25.961637%2C29.174967
156,Greenways Golf Estate,"Greenways 4050, Beach Road",Strand,Western Cape,18,Garmin (SA),-34.129957,18.841907,069 971 6173,,,https://www.google.com/maps/search/?api=1&query=-34.129957%2C18.841907
157,Greytown Country Club,3 Hallcar Street,Greytown,KwaZulu-Natal,18,Garmin (SA),-29.076047,30.592782,033 417 2441,,,https://www.google.com/maps/search/?api=1&query=-29.076047%2C30.592782
158,Groblersdal Golf Club,Middelburg Road,Groblersdal,Mpumalanga,18,Garmin (SA),-25.177767,29.404693,,,,https://www.google.com/maps/search/?api=1&query=-25.177767%2C29.404693
159,Hankey Golf Club,Klein River Road,Hankey,Eastern Cape,18,Garmin (SA),-33.826903,24.882884,,,,https://www.google.com/maps/search/?api=1&query=-33.826903%2C24.882884
160,Hans Merensky Golf Course,Club Road,Phalaborwa,Limpopo,18,Garmin (SA),-23.963127,31.166525,+27 15 781 3931,,,https://www.google.com/maps/search/?api=1&query=-23.963127%2C31.166525
161,Harding Municipal Golf Club,Shepstone Street,Harding,KwaZulu-Natal,18,Garmin (SA),-30.58098,29.886983,,,,https://www.google.com/maps/search/?api=1&query=-30.58098%2C29.886983
162,Harrismith Country Club,Murray Street,Harrismith,Free State,18,Garmin (SA),-28.265955,29.135163,058 623 0468,,,https://www.google.com/maps/search/?api=1&query=-28.265955%2C29.135163
163,Hartswater Golf Club,Christiana Street,Hartswater,Northern Cape,18,Garmin (SA),-27.754126,24.821227,,,,https://www.google.com/maps/search/?api=1&query=-27.754126%2C24.821227
164,Hazendal Golf,Bottelary Road,Stellenbosch,Western Cape,18,Garmin (SA),-33.897568,18.719164,021 903 5034,,,https://www.google.com/maps/search/?api=1&query=-33.897568%2C18.719164
165,Heidelberg Golf Club,Off N2 on Riversdale side of Heidelberg,Heidelberg,Western Cape,9,Garmin (SA),-34.087277,20.965567,,https://heidelberggolfclub.co.za/,,https://www.google.com/maps/search/?api=1&query=-34.087277%2C20.965567
166,Heidelberg Golf Course,2 Station Road,Heidelberg,Gauteng,9,Garmin (SA),-26.505997,28.374295,,,,https://www.google.com/maps/search/?api=1&query=-26.505997%2C28.374295
167,Heilbron Golf Course,Pienaar Street,Heilbron,Free State,9,Garmin (SA),-27.293091,27.960072,0909447960,,,https://www.google.com/maps/search/?api=1&query=-27.293091%2C27.960072
168,Helderberg Village Golf Club,"Bakkerskloof Road, The Helderberg Village",Somerset West,Western Cape,18,Garmin (SA),-34.045375,18.819066,021 855 8334,https://www.helderbergvillage.org.za/,,https://www.google.com/maps/search/?api=1&query=-34.045375%2C18.819066
169,Hermanus Golf Club ~ East,Golf Road,Hermanus,Western Cape,18,Garmin (SA),-34.41054,19.256426,,,,https://www.google.com/maps/search/?api=1&query=-34.41054%2C19.256426
170,Hermanus Golf Club ~ North,Golf Road,Hermanus,Western Cape,18,Garmin (SA),-34.41054,19.256426,,,,https://www.google.com/maps/search/?api=1&query=-34.41054%2C19.256426
171,Hermanus Golf Club ~ South,Golf Road,Hermanus,Western Cape,18,Garmin (SA),-34.41054,19.256426,,,,https://www.google.com/maps/search/?api=1&query=-34.41054%2C19.256426
172,Heron Banks Golf Course,"Minnaar, Vaal Park",Sasolburg,Free State,18,Garmin (SA),-26.751347,27.845297,,,,https://www.google.com/maps/search/?api=1&query=-26.751347%2C27.845297
173,Hex Vallei Golf Club,Dauphine Crescent,De Doorns,Western Cape,18,Garmin (SA),-33.483872,19.65847,,,,https://www.google.com/maps/search/?api=1&query=-33.483872%2C19.65847
174,Highland Gate Golf & Trout Estate,Kruisfontein Road,Dullstroom,Mpumalanga,18,Garmin (SA),-25.444,30.204282,087 287 4652,https://highlandgate.co.za/,,https://www.google.com/maps/search/?api=1&query=-25.444%2C30.204282
175,Hillside Golf Club,"Rachel de Beer Street, Pretoria North",Pretoria,Gauteng,18,Garmin (SA),-25.678504,28.15268,,,,https://www.google.com/maps/search/?api=1&query=-25.678504%2C28.15268
176,Holly Country Club,Off Sasolburg Highway (R57),Heilbron,Free State,18,Garmin (SA),-26.934554,27.914113,0909447960,,,https://www.google.com/maps/search/?api=1&query=-26.934554%2C27.914113
177,Hoopstad Golf Club,35 Kameeldoring Street,Hoopstad,Free State,18,Garmin (SA),-27.821429,25.905182,,,,https://www.google.com/maps/search/?api=1&query=-27.821429%2C25.905182
178,Hopetown Golf Club,2 Queen Street,Hopetown,Northern Cape,18,Garmin (SA),-29.627031,24.12198,,,,https://www.google.com/maps/search/?api=1&query=-29.627031%2C24.12198
179,Hotazel Golf Club,Dyason Road,Hotazel,Northern Cape,9,Garmin (SA),-27.200553,22.953386,053 830 6247,,,https://www.google.com/maps/search/?api=1&query=-27.200553%2C22.953386
180,Houghton Golf Club,2nd Avenue,Houghton,Gauteng,18,Garmin (SA),-26.164295,28.069787,+27114833072,https://www.houghton.co.za/,,https://www.google.com/maps/search/?api=1&query=-26.164295%2C28.069787
181,Howick Golf Club,357 Main Road,Howick,KwaZulu-Natal,18,Garmin (SA),-29.498076,30.232723,033 330 3422,https://www.howickgolfclub.co.za,,https://www.google.com/maps/search/?api=1&query=-29.498076%2C30.232723
182,Huddle Park Golf Club ~ Championship Blue Course,119 Club Street,Linksfield,Gauteng,18,Garmin (SA),-26.155869,28.119574,061 536 0895,http://huddlepark.com/,,https://www.google.com/maps/search/?api=1&query=-26.155869%2C28.119574
183,Huddle Park Golf Club ~ Mashie Course,119 Club Street,Linksfield,Gauteng,9,Garmin (SA),-26.155869,28.119574,061 536 0895,,,https://www.google.com/maps/search/?api=1&query=-26.155869%2C28.119574
184,Humewood Golf Club,Marine Drive,Port Elizabeth,Eastern Cape,18,Garmin (SA),-33.99849,25.682833,+27 41 583-3011,,,https://www.google.com/maps/search/?api=1&query=-33.99849%2C25.682833
185,Hunters Rest Golf Course,R24 Main,Rustenburg,North West,9,Garmin (SA),-25.778947,27.261178,,,,https://www.google.com/maps/search/?api=1&query=-25.778947%2C27.261178
186,Inanda Greens Golf Course,54 Wierda Road,Sandton,Gauteng,9,Garmin (SA),-26.114803,28.055224,011 884 1414,,,https://www.google.com/maps/search/?api=1&query=-26.114803%2C28.055224
187,Indiwe Golf Club,West Street,Indiwe,Eastern Cape,9,Garmin (SA),-31.472461,27.337203,,,,https://www.google.com/maps/search/?api=1&query=-31.472461%2C27.337203
188,Irene Country Club,1 Main Road,Irene,Gauteng,18,Garmin (SA),-25.884078,28.222805,+27 12 667 1081,,,https://www.google.com/maps/search/?api=1&query=-25.884078%2C28.222805
189,Ixopo Golf Club,Stewarts Drive,Ixopo,KwaZulu-Natal,18,Garmin (SA),-30.149724,30.060074,,,,https://www.google.com/maps/search/?api=1&query=-30.149724%2C30.060074
190,Jackal Creek Golf Estate,"Boundary Road, Honeydew",Northriding,Gauteng,18,Garmin (SA),-26.057225,27.926336,010 880 3999,https://jackalcreek.co.za/contact-us/,,https://www.google.com/maps/search/?api=1&query=-26.057225%2C27.926336
191,Jacobsdal Golf Club,34 Hoop Street,Jacobsdal,Free State,18,Garmin (SA),-29.131773,24.778354,,,,https://www.google.com/maps/search/?api=1&query=-29.131773%2C24.778354
192,Jagersfontein Golf Club,Amandelhoogte,Jagersfontein,Free State,18,Garmin (SA),-29.752608,25.431531,,,,https://www.google.com/maps/search/?api=1&query=-29.752608%2C25.431531
193,Jan Kempdorp Golf Club,Van Riebeeck Avenue,Jan Kempdorp,Northern Cape,18,Garmin (SA),-27.912592,24.852395,,,,https://www.google.com/maps/search/?api=1&query=-27.912592%2C24.852395
194,Jan Kriel Mashie Course,Skool St,Kuils River,Western Cape,18,Garmin (SA),-33.919426,18.683496,021 903 1108,https://jankriel.co.za/contact-us/,,https://www.google.com/maps/search/?api=1&query=-33.919426%2C18.683496
195,Jeffreys Bay Golf Club,Disa Avenue,Jeffreys Bay,Eastern Cape,18,Garmin (SA),-34.039437,24.914593,,,,https://www.google.com/maps/search/?api=1&query=-34.039437%2C24.914593
196,Jeffreys Bay Golf Club ~ Par 3,Disa Avenue,Jeffreys Bay,Eastern Cape,18,Garmin (SA),-34.039437,24.914593,+27422932532,,,https://www.google.com/maps/search/?api=1&query=-34.039437%2C24.914593
197,Jim and Jerry's Driving Range and Mashie Course,"1724 Hole in One Road, Ruimsig",Roodepoort,Gauteng,18,Garmin (SA),-26.074076,27.857487,+27116621603,,,https://www.google.com/maps/search/?api=1&query=-26.074076%2C27.857487
198,Johannesburg Country Club ~ Mashie,1 Napier Road,Auckland Park,Gauteng,9,Garmin (SA),-26.050164,28.080691,+27 11 202 1600,,,https://www.google.com/maps/search/?api=1&query=-26.050164%2C28.080691
199,Johannesburg Country Club ~ Rocklands,1 Napier Road,Auckland Park,Gauteng,18,Garmin (SA),-26.050164,28.080691,+27 11 202 1600,,,https://www.google.com/maps/search/?api=1&query=-26.050164%2C28.080691
200,Johannesburg Country Club ~ Woodmead,1 Napier Road,Auckland Park,Gauteng,18,Garmin (SA),-26.050164,28.080691,011 202 1600,,,https://www.google.com/maps/search/?api=1&query=-26.050164%2C28.080691
201,Kakamas Golf Club,Neilersdrift Road,Kakamas,Northern Cape,18,Garmin (SA),-28.795595,20.651786,,,,https://www.google.com/maps/search/?api=1&query=-28.795595%2C20.651786
202,Kambaku Golf Club,33 Rissik Street,Komatipoort,Mpumalanga,18,Garmin (SA),-25.437522,31.972328,,,,https://www.google.com/maps/search/?api=1&query=-25.437522%2C31.972328
203,Kameeldoring Country Club,H.F Verwoerd,Mokopane,Limpopo,18,Garmin (SA),-24.211056,28.989379,066 287 2250,,,https://www.google.com/maps/search/?api=1&query=-24.211056%2C28.989379
204,Katberg Eco Estate,R351,Katberg,Eastern Cape,18,Garmin (SA),-32.497466,26.681714,040 864 1010,,,https://www.google.com/maps/search/?api=1&query=-32.497466%2C26.681714
205,Kei Mouth Country Club,Golf Course Road,Kei Mouth,Eastern Cape,18,Garmin (SA),-32.696153,28.364207,+27438411083,,,https://www.google.com/maps/search/?api=1&query=-32.696153%2C28.364207
206,Keimoes Golf Club,P.O.Box 272,Keimoes,Northern Cape,9,Garmin (SA),-28.692527,20.970226,,,,https://www.google.com/maps/search/?api=1&query=-28.692527%2C20.970226
207,Kempton Park Golf Club,"Green Avenue, Kempton Park",Spartan,Gauteng,18,Garmin (SA),-26.106327,28.210959,071 687 1592,,,https://www.google.com/maps/search/?api=1&query=-26.106327%2C28.210959
208,Kestell Golf Club,Cilliers Street,Kestell,Free State,18,Garmin (SA),-28.301897,28.701675,0576020131,,,https://www.google.com/maps/search/?api=1&query=-28.301897%2C28.701675
209,Kilbarchan Golf Course,Kilbarchan,Newcastle,KwaZulu-Natal,18,Garmin (SA),-27.841202,29.9695,034 310 6690,,,https://www.google.com/maps/search/?api=1&query=-27.841202%2C29.9695
210,Killarney Country Club,60 Fifth Street,Lower Houghton,Gauteng,18,Garmin (SA),-26.151767,28.054165,011 442 3880,https://www.killarneycountryclub.co.za/general-information-enquiry/,,https://www.google.com/maps/search/?api=1&query=-26.151767%2C28.054165
211,Kimberley Golf Club,"Transvaal Road, Kamfersdam",Kimberley,Northern Cape,18,Garmin (SA),-28.69379,24.775614,053 841 0179,https://www.kimberleygc.co.za/contact-6,,https://www.google.com/maps/search/?api=1&query=-28.69379%2C24.775614
212,Kimiad Golf,Wekker Road,Moreletapark,Gauteng,18,Garmin (SA),-25.817774,28.296576,012 997 2240,,,https://www.google.com/maps/search/?api=1&query=-25.817774%2C28.296576
213,King David Mowbray Golf Club,"Raapenberg Road, Mowbray",Cape Town,Western Cape,18,Garmin (SA),-33.945951,18.492222,+27 21 685 3018,,,https://www.google.com/maps/search/?api=1&query=-33.945951%2C18.492222
214,King William's Town Golf Course,Cnr National Rd and Hargreaves Ave,King Williams Town,Eastern Cape,18,Garmin (SA),-32.892144,27.409215,,,,https://www.google.com/maps/search/?api=1&query=-32.892144%2C27.409215
215,Kingswood Golf Estate,Plattner Boulevard,George,Western Cape,18,Garmin (SA),-33.970653,22.433563,+27 44 861 7271,https://www.kingswood.co.za/directory/,,https://www.google.com/maps/search/?api=1&query=-33.970653%2C22.433563
216,Kinross Golf Club,Spitz Street,Kinross,Mpumalanga,18,Garmin (SA),-26.41569,29.108289,,,,https://www.google.com/maps/search/?api=1&query=-26.41569%2C29.108289
217,Kirkwood Golf Club,Uye Road,Kirkwood,Eastern Cape,18,Garmin (SA),-33.39282,25.450232,,,,https://www.google.com/maps/search/?api=1&query=-33.39282%2C25.450232
218,Kleinmond Golf Club,Top of Botriver Road,Kleinmond,Western Cape,18,Garmin (SA),-34.330816,19.033964,,https://www.kleinmondgolfclub.co.za/,,https://www.google.com/maps/search/?api=1&query=-34.330816%2C19.033964
219,Kleinzee Golf Course,Dyason Road,Kleinzee,Northern Cape,9,Garmin (SA),-29.677953,17.059469,027 877 0530,,,https://www.google.com/maps/search/?api=1&query=-29.677953%2C17.059469
220,Klerksdorp Golf Club,Cnr Boet Randalls and Trens Erasmus Streets,Klerksdorp,North West,18,Garmin (SA),-26.878223,26.65839,,,,https://www.google.com/maps/search/?api=1&query=-26.878223%2C26.65839
221,Kloof Country Club,26 Victoria Road,Kloof,KwaZulu-Natal,18,Garmin (SA),-29.795887,30.824375,0463496522,https://kloofcc.co.za/,,https://www.google.com/maps/search/?api=1&query=-29.795887%2C30.824375
222,Knysna Golf Club,"Howard Str., Hunters Home",Knysna,Western Cape,18,Garmin (SA),-34.058426,23.078983,,https://knysnagolfclub.com/,,https://www.google.com/maps/search/?api=1&query=-34.058426%2C23.078983
223,Koffiefontein Golf Course,Du Preez Street,Koffiefontein,Free State,18,Garmin (SA),-29.410958,25.001085,+27532050681,,,https://www.google.com/maps/search/?api=1&query=-29.410958%2C25.001085
224,Kokstad Golf Club,107 Elliot Street,Kokstad,KwaZulu-Natal,18,Garmin (SA),-30.542134,29.407958,,,,https://www.google.com/maps/search/?api=1&query=-30.542134%2C29.407958
225,Komga Golf Course,Main Street,Komga,Eastern Cape,18,Garmin (SA),-32.576695,27.886282,+27438311069,,,https://www.google.com/maps/search/?api=1&query=-32.576695%2C27.886282
226,Koro Creek Golf Estate,Church Street,Modimolle,Limpopo,18,Garmin (SA),-24.697502,28.385732,,https://www.koro-creek.co.za/contact.html,,https://www.google.com/maps/search/?api=1&query=-24.697502%2C28.385732
227,Koster Golf Course,Petisie Street,Koster,North West,9,Garmin (SA),-25.872481,26.895282,082 340 3300,,,https://www.google.com/maps/search/?api=1&query=-25.872481%2C26.895282
228,Kragga Kamma Golf Course,"Kragga Kamma Road, Chelsea",Port Elizabeth,Eastern Cape,18,Garmin (SA),-33.976859,25.453687,063 474 1766,,,https://www.google.com/maps/search/?api=1&query=-33.976859%2C25.453687
229,Kranspoort Golf Club,N11,Loskop Valley,Mpumalanga,9,Garmin (SA),-25.438092,29.420807,,,,https://www.google.com/maps/search/?api=1&query=-25.438092%2C29.420807
230,Kriel Golf Club,Bethal Main Road,Kriel,Mpumalanga,9,Garmin (SA),-26.255157,29.1996,,,,https://www.google.com/maps/search/?api=1&query=-26.255157%2C29.1996
231,Kroonstad Correctional Services Golf Course,College Terrain,Kroonstad,Free State,18,Garmin (SA),-27.624393,27.233047,,,,https://www.google.com/maps/search/?api=1&query=-27.624393%2C27.233047
232,Kroonstad Country Club,Kroonpark Avenue,Kroonstad,Free State,18,Garmin (SA),-27.665269,27.244291,056 212 5169,,,https://www.google.com/maps/search/?api=1&query=-27.665269%2C27.244291
233,Kruger Park Lodge Golf Course,9 Kruger Road,Hazyview,Mpumalanga,9,Garmin (SA),-25.033953,31.141307,,,,https://www.google.com/maps/search/?api=1&query=-25.033953%2C31.141307
234,Krugersdorp Golf Club,"Nightingale Crescent, Rant & Dal",Krugersdorp,Gauteng,18,Garmin (SA),-26.08135,27.784359,,,,https://www.google.com/maps/search/?api=1&query=-26.08135%2C27.784359
235,Kuils River Golf Club,Bottelary Road,Kuils River,Western Cape,18,Garmin (SA),-33.902392,18.709738,0219030222,https://www.kuilsriviergolfclub.co.za/contact-us/,,https://www.google.com/maps/search/?api=1&query=-33.902392%2C18.709738
236,Kuruman Country Club,Vryburg/Kuruman Road,Kuruman,Northern Cape,18,Garmin (SA),-27.471356,23.457999,053 712 1242,,,https://www.google.com/maps/search/?api=1&query=-27.471356%2C23.457999
237,Kwambonambi Golf Club,Bridilla Street,Kwambonambi,KwaZulu-Natal,18,Garmin (SA),-28.600373,32.079134,,,,https://www.google.com/maps/search/?api=1&query=-28.600373%2C32.079134
238,Kyalami Country Club,433 Maple Rd,Kyalami,Gauteng,18,Garmin (SA),-25.977946,28.058286,+27 10 594 0034,,,https://www.google.com/maps/search/?api=1&query=-25.977946%2C28.058286
239,Ladismith Golf Club,Van Riebeeck Street,Ladismith,Western Cape,9,Garmin (SA),-33.492511,21.263604,,,,https://www.google.com/maps/search/?api=1&query=-33.492511%2C21.263604
240,Lady Grey Golf Club,28 Schriener Road,Lady Grey,Eastern Cape,18,Garmin (SA),-30.707881,27.209702,+27516030421,,,https://www.google.com/maps/search/?api=1&query=-30.707881%2C27.209702
241,Ladybrand Sports Club,1 Loop Street,Ladybrand,Free State,18,Garmin (SA),-29.204493,27.456143,051 924 3146,,,https://www.google.com/maps/search/?api=1&query=-29.204493%2C27.456143
242,Ladysmith Country Club,28 Reservoir Road,Ladysmith,KwaZulu-Natal,18,Garmin (SA),-28.547115,29.770997,,,,https://www.google.com/maps/search/?api=1&query=-28.547115%2C29.770997
243,Lamberts Bay Golf Club,Main Road,Lamberts Bay,Western Cape,18,Garmin (SA),-32.099086,18.326025,027 432 1000,,,https://www.google.com/maps/search/?api=1&query=-32.099086%2C18.326025
244,Landau Colliery Golf Club,Landau Colliery,Witbank,Mpumalanga,9,Garmin (SA),-25.948205,29.209814,,,,https://www.google.com/maps/search/?api=1&query=-25.948205%2C29.209814
245,Landbou Golf Club,Botha Street,Potchefstroom,North West,18,Garmin (SA),-26.731387,27.070561,,,,https://www.google.com/maps/search/?api=1&query=-26.731387%2C27.070561
246,Langebaan Country Estate Golf,1 Oostewal Rd,Langebaan,Western Cape,18,Garmin (SA),-33.07444,18.054226,,https://langebaanestate.co.za/contact-us/,,https://www.google.com/maps/search/?api=1&query=-33.07444%2C18.054226
247,Langebaan Country Estate Golf ~ Mashie Course,1 Oostewal Rd,Langebaan,Western Cape,18,Garmin (SA),-33.07444,18.054226,021 430 6011,https://langebaanestate.co.za/golf/,,https://www.google.com/maps/search/?api=1&query=-33.07444%2C18.054226
248,Langkloof Golf Club,"Die Ark, Hoofpad",Joubertina,Eastern Cape,18,Garmin (SA),-33.838294,23.837539,,,,https://www.google.com/maps/search/?api=1&query=-33.838294%2C23.837539
249,Leeudoringstad Golf Course,East Street,Leeudoringstad,North West,18,Garmin (SA),-27.235923,26.240544,0539554111,,,https://www.google.com/maps/search/?api=1&query=-27.235923%2C26.240544
250,Leeuwkop Golf Club,"2571 Candican Rd, Sunninghill",Sandton,Gauteng,18,Garmin (SA),-26.008745,28.064772,,,,https://www.google.com/maps/search/?api=1&query=-26.008745%2C28.064772
251,Legend Golf & Safari Resort,Entabeni Safari Conservancy,Mokopane,Limpopo,18,Garmin (SA),-24.195227,28.720853,,,,https://www.google.com/maps/search/?api=1&query=-24.195227%2C28.720853
252,Leopard Creek Country Club,Malelane Gate,Malelane,Mpumalanga,18,Garmin (SA),-25.441748,31.534459,+27 13 791 2000,https://leopardcreek.co.za/,,https://www.google.com/maps/search/?api=1&query=-25.441748%2C31.534459
253,Leopard Creek Country Club ~ Par 3,Malelane Gate,Malelane,Mpumalanga,9,Garmin (SA),-25.441748,31.534459,+27 13 791 2000,https://leopardcreek.co.za/,,https://www.google.com/maps/search/?api=1&query=-25.441748%2C31.534459
254,Leopard Park Golf Club,Nelson Mandela Drive,Mmabatho,North West,18,Garmin (SA),-25.812442,25.637262,,,,https://www.google.com/maps/search/?api=1&query=-25.812442%2C25.637262
255,Lichtenburg Golf Club,Colingy Road,Lichtenburg,North West,18,Garmin (SA),-26.184535,26.177392,0849432920,,,https://www.google.com/maps/search/?api=1&query=-26.184535%2C26.177392
